,ACES_1,ACES_2,BPOF_1,BPOF_2,BP_1,BP_2,COURT,DF_1,DF_2,FSOF_1,FSOF_2,FS_1,FS_2,ID1,ID2,RESULT_G,RPWOF_1,RPWOF_2,RPW_1,RPW_2,TPW_1,TPW_2,W1SOF_1,W1SOF_2,W1S_1,W1S_2,WIS_1,WIS_2
6789,2.967586241900434,2.5436453502003724,2.5436453502003724,5.087290700400746,1.6957635668002484,1.6957635668002484,Grass,5.087290700400746,1.2718226751001862,69.10236534711012,58.079902162908496,44.08985273680645,36.882857577905405,20937,62767,52,58.079902162908496,69.10236534711012,16.533694776302422,25.012512610303663,60.62354751310888,66.55871999690974,44.08985273680645,36.882857577905405,30.947685094104532,27.556157960504034,13.142167642701926,13.990049426102047
6790,3.4807778476426154,4.641037130190153,4.641037130190153,1.1602592825475382,1.7403889238213075,0.5801296412737691,Grass,0.5801296412737691,6.961555695285231,57.43283448610315,76.57711264813753,40.60907488916384,48.73088986699661,26181,6340,38,76.57711264813753,57.43283448610315,27.26609313986715,11.022463184201612,73.67646444176869,60.333482692472,40.60907488916384,48.73088986699661,34.80777847642615,34.80777847642615,11.602592825475384,14.50324103184423
6791,6.692209790408122,3.93659399435772,4.723912793229263,3.5429345949219475,1.96829699717886,0.7873187988715438,Grass,1.96829699717886,3.5429345949219475,58.65525051593002,67.70941670295278,37.79130234583409,38.57862114470565,62232,62769,56,67.70941670295278,58.65525051593002,26.375179762196716,14.959057178559336,70.0713730995674,56.293294119315384,37.79130234583409,38.57862114470565,31.886411354297522,28.737136158811353,11.809781983073158,12.597100781944699
6792,8.266847388151211,4.592692993417339,7.348308789467742,6.429770190784276,5.511231592100806,0.0,Grass,3.674154394733871,3.674154394733871,76.23870369072783,64.29770190784275,48.6825457302238,33.067389552604844,11953,4009,24,64.29770190784275,76.23870369072783,32.14885095392137,22.044926368403225,86.34262827624597,54.19377732232461,48.6825457302238,33.067389552604844,38.57862114470565,22.963464967086697,15.615156177618955,9.185385986834678
6793,2.0040842153093843,18.03675793778446,2.0040842153093843,5.611435802866277,0.8016336861237537,0.8016336861237537,Grass,0.8016336861237537,2.0040842153093843,74.15111596644722,72.54784859419972,48.498838010487106,50.50292222579649,1576,5837,55,72.54784859419972,74.15111596644722,20.040842153093845,19.23920846697009,74.95274965257097,71.74621490807596,48.498838010487106,50.50292222579649,37.27596640475455,41.28413483537332,17.635941094722586,11.222871605732553
6794,7.348308789467742,1.5746375977430875,8.92294638721083,4.723912793229263,3.674154394733871,2.6243959962384795,Grass,2.6243959962384795,0.5248791992476959,62.98550390972351,78.73187988715439,48.813765530035724,53.53767832326498,875,9043,42,78.73187988715439,62.98550390972351,34.64202715034793,24.144443165394016,73.48308789467742,68.23429590220047,48.813765530035724,53.53767832326498,33.592268751852544,31.49275195486176,5.248791992476959,12.597100781944699
6795,9.369093706571373,1.653369477630242,9.920216865781452,1.653369477630242,2.7556157960504035,1.1022463184201614,Grass,0.5511231592100807,1.1022463184201614,61.72579383152904,81.01510440388185,35.82300534865524,51.254453806537505,20650,4010,40,81.01510440388185,61.72579383152904,31.96514323418468,19.840433731562904,73.85050333415082,68.8903949012601,35.82300534865524,51.254453806537505,28.107281119714113,34.169635871025015,13.778078980252015,14.88032529867218
6796,8.684364933007332,3.3401403588489735,5.344224574158359,4.676196502388564,2.67211228707918,1.3360561435395897,Grass,0.6680280717697948,3.3401403588489735,72.14703175113785,62.79463874636071,48.766049239195006,37.40957201910851,5917,20847,33,62.79463874636071,72.14703175113785,24.717038655482405,23.380982511942822,73.48308789467742,61.458582602821124,48.766049239195006,37.40957201910851,36.74154394733871,24.717038655482405,12.024505291856306,13.360561435395894
6797,4.1334236940756055,1.8370771973669355,7.348308789467742,5.0519622927590735,2.7556157960504035,1.3778078980252018,Grass,0.4592692993417339,2.296346496708669,68.8903949012601,81.2906659834869,45.00839133548992,53.734508022982865,7806,7393,48,81.2906659834869,68.8903949012601,33.985928151288306,22.044926368403225,80.83139668414516,69.34966420060182,45.00839133548992,53.734508022982865,31.68958165457964,34.904466749971775,15.15588687827722,12.400271082226816
6798,16.700701794244868,4.676196502388564,6.680280717697947,2.0040842153093843,2.0040842153093843,0.6680280717697948,Grass,3.3401403588489735,1.3360561435395897,66.80280717697947,74.81914403821702,40.08168430618769,46.09393695211584,6848,6465,33,74.81914403821702,66.80280717697947,26.72112287079179,18.704786009554255,74.81914403821702,66.80280717697947,40.08168430618769,46.09393695211584,32.733375516719946,32.06534744495015,15.364645650705281,16.032673722475074
6799,3.8339002379831704,4.792375297478962,17.252551070924266,0.9584750594957924,6.7093254164705485,0.0,Grass,0.9584750594957924,3.8339002379831704,57.508503569747546,80.51190499764657,39.297477439327494,43.131377677310674,5992,22439,23,80.51190499764657,57.508503569747546,41.21442755831908,12.460175773445304,86.26275535462133,51.7576532127728,39.297477439327494,43.131377677310674,31.62967696336116,24.920351546890608,13.418650832941095,14.377125892436887
6800,19.840433731562904,1.4696617578935485,4.4089852736806465,2.9393235157870965,1.4696617578935485,0.7348308789467742,Grass,5.14381615262742,2.2044926368403233,83.03588932098549,98.46733777886776,53.64265416311451,62.46062471047582,11704,75,30,98.46733777886776,83.03588932098549,30.86289691576452,18.37077197366936,95.52801426308064,85.97521283677257,53.64265416311451,62.46062471047582,47.764007131540325,47.029176252593544,16.901110215775812,20.57526461050968
6801,8.660506787586982,8.660506787586982,4.723912793229263,0.7873187988715438,3.1492751954861746,0.0,Grass,3.1492751954861746,3.1492751954861746,66.13477910520969,59.83622871423734,43.3025339379349,37.79130234583409,24008,29939,28,59.83622871423734,66.13477910520969,22.044926368403225,18.895651172917045,69.28405430069586,56.68695351875115,43.3025339379349,37.79130234583409,33.85470835147639,28.343476759375577,13.384419580816244,9.447825586458526
6802,6.6134779105209685,2.2044926368403233,8.083139668414516,2.9393235157870965,2.9393235157870965,0.7348308789467742,Grass,1.4696617578935485,2.2044926368403233,57.3168085578484,63.93028646836936,34.53705131049839,41.15052922101936,19,12190,30,63.93028646836936,57.3168085578484,25.719080763137104,11.022463184201612,72.01342613678388,49.23366888943388,34.53705131049839,41.15052922101936,27.92357339997742,23.514588126296772,18.37077197366936,14.696617578935484
