Unnamed: 0,ACES_1,ACES_2,BPOF_1,BPOF_2,BP_1,BP_2,COURT,DF_1,DF_2,FSOF_1,FSOF_2,FS_1,FS_2,ID1,ID2,RESULT_G,RPWOF_1,RPWOF_2,RPW_1,RPW_2,TPW_1,TPW_2,W1SOF_1,W1SOF_2,W1S_1,W1S_2,WIS_1,WIS_2,eloWinner,eloLoser
2257,2.280540221086362,5.321260515868179,6.081440589563633,6.841620663259088,2.280540221086362,3.8009003684772704,Grass,1.5203601473909083,5.321260515868179,68.41620663259086,63.09494611672269,43.330264200640876,35.72846346368634,3165,801,29,63.09494611672269,68.41620663259086,24.325762358254533,27.366482653036343,65.37548633780905,66.1356664115045,43.330264200640876,35.72846346368634,26.60630257934089,26.60630257934089,14.443421400213628,12.162881179127266,1567.7593438218296,1478.4708034075993
2258,13.923298191895686,3.480824547973921,6.961649095947843,1.1602748493246404,3.480824547973921,1.1602748493246404,Grass,2.320549698649281,1.1602748493246404,63.815116712855215,59.17401731555666,39.449344877037774,40.6096197263624,685,11522,19,59.17401731555666,63.815116712855215,23.20549698649281,16.243847890544966,70.77676580880306,52.21236821960881,39.449344877037774,40.6096197263624,34.80824547973921,29.006871233116012,12.763023342571044,6.961649095947843,1547.9024933303679,1538.1332616654277
2259,7.348407379056058,6.123672815880048,5.511305534292042,2.4494691263520183,1.2247345631760091,1.8371018447640144,Grass,1.8371018447640144,3.0618364079400235,66.74803369309251,77.1582774800886,39.80387330322029,44.70281155592434,1621,775,36,77.1582774800886,66.74803369309251,26.331793108284195,25.10705854510819,67.97276825626852,75.9335429169126,39.80387330322029,44.70281155592434,31.23073136098824,34.29256776892826,10.410243786996078,16.533916602876126,1573.656405438764,1467.6260297378312
2260,2.280540221086362,6.841620663259088,8.361980810649994,1.5203601473909083,3.0407202947818166,1.5203601473909083,Grass,2.280540221086362,2.280540221086362,69.17638670628632,74.4976472221545,46.370984495422704,48.651524716509066,13796,5058,29,74.4976472221545,69.17638670628632,31.16738302151361,22.045222137168167,78.29854759063176,65.37548633780905,46.370984495422704,48.651524716509066,33.44792324259998,31.16738302151361,13.683241326518171,12.162881179127266,1532.0,1468.0
2261,2.5935555455491963,3.8903333183237945,3.8903333183237945,0.0,3.8903333183237945,0.0,Grass,2.5935555455491963,3.8903333183237945,64.83888863872991,51.87111091098392,38.90333318323794,27.232333228266558,5997,9229,17,51.87111091098392,64.83888863872991,20.74844436439357,15.561333273295178,70.02599972982829,46.68399981988553,38.90333318323794,27.232333228266558,32.41944431936496,22.045222137168167,16.858111046069773,9.077444409422188,1529.373575932649,1442.0460949302162
2262,5.8787259032448445,0.0,8.818088854867268,0.0,7.348407379056058,0.0,Grass,1.4696814758112111,4.409044427433634,51.43885165339239,70.54471083893814,33.80267394365786,44.090444274336335,7540,7545,15,70.54471083893814,51.43885165339239,39.68139984690271,8.818088854867268,82.30216264542783,39.68139984690271,33.80267394365786,44.090444274336335,27.923948040413013,22.045222137168167,14.696814758112113,8.818088854867268,1487.2420871920087,1413.300839472923
2263,3.8339516760292462,3.8339516760292462,7.6679033520584925,11.50185502808774,3.8339516760292462,2.875463757021935,Grass,5.75092751404387,2.875463757021935,89.13937646767998,75.72054560157763,58.46776305944602,44.090444274336335,7393,1333,23,75.72054560157763,89.13937646767998,30.671613408233966,37.38102884128515,82.4299610346288,82.4299610346288,58.46776305944602,44.090444274336335,41.2149805173144,30.671613408233966,10.543367109080428,14.377318785109676,1475.9779334395557,1462.3815224670413
2264,6.613566641150451,0.0,20.94296103030976,14.32939438915931,3.3067833205752253,1.1022611068584085,Grass,6.613566641150451,5.511305534292042,90.38541076238948,96.99897740353994,46.29496648805316,69.44244973207971,9840,761,20,96.99897740353994,90.38541076238948,42.98818316747794,34.17009431261066,99.20349961725678,88.18088854867267,46.29496648805316,69.44244973207971,31.965572098893837,44.090444274336335,24.249744350884985,9.920349961725677,1591.7368937006663,1541.281184604356
2265,2.5935555455491963,2.5935555455491963,10.374222182196783,7.780666636647589,6.48388886387299,1.2967777727745982,Grass,1.2967777727745982,6.48388886387299,72.61955527537751,89.47766632144726,46.68399981988553,63.54211086595532,863,2034,17,89.47766632144726,72.61955527537751,46.68399981988553,27.232333228266558,92.07122186699648,70.02599972982829,46.68399981988553,63.54211086595532,35.01299986491414,33.716222092139546,10.374222182196783,9.077444409422188,1509.8048677156212,1465.7524527712453
2266,5.8787259032448445,0.0,11.757451806489687,1.4696814758112111,5.8787259032448445,0.0,Grass,5.8787259032448445,2.9393629516224222,63.19630345988208,61.72662198407087,39.68139984690271,41.15108132271392,1053,21398,15,61.72662198407087,63.19630345988208,30.863310992035434,14.696814758112113,79.36279969380541,45.56012575014754,39.68139984690271,41.15108132271392,38.21171837109149,23.51490361297937,10.287770330678477,7.348407379056058,1535.0517299701341,1468.3095782713863
2267,1.8371018447640144,3.674203689528028,14.696814758112113,7.348407379056058,6.429856456674049,2.755652767146021,Grass,6.429856456674049,3.674203689528028,66.1356664115045,98.28494869487473,31.23073136098824,60.62436087721246,575,12190,24,98.28494869487473,66.1356664115045,50.52030073101038,25.719425826696195,90.93654131581869,73.48407379056056,31.23073136098824,60.62436087721246,24.800874904314195,33.06783320575225,15.61536568049412,14.696814758112113,1498.0466689567374,1464.570103544021
2268,5.1871110910983935,5.1871110910983935,11.670999954971382,3.8903333183237945,6.48388886387299,1.2967777727745982,Grass,1.2967777727745982,5.1871110910983935,53.167888683758534,81.69699968479969,33.716222092139546,46.68399981988553,836,11816,17,81.69699968479969,53.167888683758534,40.20011095601254,14.26455550052058,79.10344413925048,55.7614442293077,33.716222092139546,46.68399981988553,23.341999909942764,27.232333228266558,15.561333273295178,14.26455550052058,1503.9778120416604,1443.6379076827038
2269,6.5319176702720485,4.898938252704037,5.715427961488043,3.2659588351360247,2.4494691263520183,2.4494691263520183,Grass,1.6329794175680123,6.5319176702720485,57.15427961488043,67.7686458290725,35.10905747771226,35.925547186496274,3026,13799,27,67.7686458290725,57.15427961488043,26.944160389872213,17.962773593248137,66.1356664115045,58.78725903244845,35.10905747771226,35.925547186496274,26.1276706810882,28.577139807440208,13.0638353405441,12.247345631760096,1512.0646200326548,1483.0252866790674
