Unnamed: 0,ACES_1,ACES_2,BPOF_1,BPOF_2,BP_1,BP_2,DF_1,DF_2,FSOF_1,FSOF_2,FS_1,FS_2,ID1,ID2,RESULT_G,RPWOF_1,RPWOF_2,RPW_1,RPW_2,TPW_1,TPW_2,W1SOF_1,W1SOF_2,W1S_1,W1S_2,WIS_1,WIS_2,eloLoser,eloWinner,win
0,3.116159677505493,6.884647846221924,6.827759265899657,4.88624382019043,2.26370906829834,1.3488415479660034,1.986234664916992,1.495674729347229,61.37971496582031,65.34654998779297,41.255767822265625,42.00423812866211,762,693,20,68.50183868408203,64.84586334228516,22.96736717224121,21.20434761047364,61.16792678833008,64.40127563476561,41.255767822265625,42.00423812866211,27.35138893127441,29.94607353210449,10.849170684814453,13.2508544921875,1384.0599136868661,1397.0526790056265,1
1,2.086472272872925,4.7174038887023935,7.165242671966553,2.6846120357513428,3.062358856201172,0.7118331789970398,1.96247136592865,4.4616217613220215,67.16537475585939,72.0019760131836,41.04955291748047,42.94250106811523,47,4236,17,72.20121002197266,60.88508987426758,28.32113647460937,15.150352478027346,74.62205505371094,55.55081176757813,41.04955291748047,42.94250106811523,30.81679344177246,29.08687400817871,15.484124183654785,11.313587188720705,1400.2303396999725,1688.6670895287866,1
2,4.42816686630249,4.0979061126708975,7.0542521476745605,6.443680286407473,2.9471914768218994,1.2865152359008791,3.1334121227264404,2.699824571609497,75.24211883544922,65.71236419677734,46.82521057128906,41.00912094116211,5136,6458,22,68.73662567138672,72.7972412109375,26.545995712280273,24.04269599914551,74.97724151611328,67.56170654296875,46.82521057128906,41.00912094116211,34.30524444580078,31.255990982055664,14.126002311706545,12.263018608093262,1446.4954104487629,1526.4590857084477,1
3,4.886752605438232,3.0221850872039795,6.992049694061277,5.837026119232178,3.260517835617065,2.3173048496246342,4.412703037261963,5.201405048370361,57.95436096191406,74.51179504394531,31.41903877258301,45.08616638183594,961,4067,16,71.78600311279297,65.82057952880861,30.25823402404785,22.7946834564209,69.80554962158203,60.27331161499024,31.41903877258301,45.08616638183594,26.08097267150879,26.86869239807129,13.46634006500244,10.60993766784668,1423.0951321991959,1629.8547292083026,1
4,4.701791286468506,7.744453430175781,6.180572986602782,6.7227959632873535,2.185463190078736,1.4729114770889282,1.0785638093948364,6.413534164428711,72.25371551513672,76.80207824707031,49.51063537597656,45.3263053894043,5961,7295,20,71.96289825439453,68.70244598388672,26.45524024963379,23.87512016296387,74.88092803955078,72.28884887695312,49.51063537597656,45.3263053894043,37.23204803466797,35.11114883422852,11.193641662597656,13.30258083343506,1532.3279322735889,1568.7460695307855,1
5,5.990501880645753,2.6864993572235107,9.43565845489502,3.046904325485228,3.4220082759857178,1.097009539604187,3.114962577819824,1.097009539604187,71.15874481201172,74.6470947265625,43.52336502075195,46.8443603515625,1266,6080,21,79.05481719970703,69.19576263427734,35.43814468383789,22.22779083251953,80.49927520751953,68.67918395996094,43.52336502075195,46.8443603515625,32.210704803466804,31.19440269470215,12.850428581237793,15.25699234008789,1462.605595928307,1533.3313254639627,1
7,2.707620620727539,5.48581075668335,7.233853816986084,6.5412468910217285,3.4934139251708984,1.7805606126785278,1.9751826524734497,2.021177053451538,75.23799896240234,61.62469863891602,51.43107986450195,36.58813095092773,712,84,17,77.26954650878906,71.86522674560547,31.43723106384277,24.64363670349121,77.88861846923828,63.41494369506836,51.43107986450195,36.58813095092773,33.52831649780273,26.17201995849609,12.923075675964355,12.599286079406738,1501.7253792388074,1509.290368987392,1
8,5.7644476890563965,3.8654606342315687,5.375442028045653,6.0504703521728525,2.46366286277771,1.5530244112014768,1.1389366388320925,2.365090131759644,69.88099670410156,67.40387725830078,37.45646667480469,40.73198318481445,728,12,25,65.08946990966797,66.29672241210939,22.93217658996582,22.44993782043457,69.62330627441406,64.28850555419922,37.45646667480469,40.73198318481445,29.70439910888672,29.0155086517334,16.986732482910153,12.8230619430542,1534.7965429180774,1619.7391316594046,1
9,5.239588260650635,3.3996200561523438,4.0825018882751465,6.1132354736328125,1.4571672677993774,1.2814440727233891,1.9963647127151487,1.862953186035156,71.44721221923828,66.20815277099611,45.95454025268555,40.52071762084961,650,1576,25,64.98162078857422,80.33432006835938,20.47403717041016,29.13127326965332,66.43466186523439,73.54296875,45.95454025268555,40.52071762084961,35.14560317993164,30.518224716186523,10.815018653869627,13.893474578857422,1576.3658567852551,1598.2800397268493,1
11,10.962103843688963,4.914256572723389,3.9874165058135986,5.435704708099365,2.3731954097747803,2.3335213661193848,4.743220806121826,1.818891167640686,84.8152084350586,57.2889404296875,54.2206916809082,25.943603515625,714,4009,19,73.9892349243164,73.21148681640625,25.24039459228516,27.281702041625977,77.52452850341797,63.89787292480469,54.2206916809082,25.943603515625,40.04208755493164,18.778169631958008,12.24204921722412,17.838003158569336,1631.7797835433307,1560.6964664066752,1
12,5.5411057472229,6.089128494262695,8.059971809387207,5.670240879058838,3.6988203525543213,1.848875880241394,7.08787727355957,2.2498788833618164,106.10529327392578,71.27313232421875,52.56098556518555,43.02205276489258,4010,13799,35,91.50567626953124,74.00862884521484,32.29184341430664,27.99736785888672,98.35404205322266,74.4104995727539,52.56098556518555,43.02205276489258,39.87799453735352,32.18269729614258,26.18420600891113,14.230438232421875,1554.2529824111868,1670.222090236622,1
13,3.877873659133911,2.0742862224578857,5.212891101837158,5.185939311981201,0.9770099520683287,1.7219285964965818,3.1904666423797607,2.2928860187530518,63.02635192871094,67.05352783203125,39.36117935180664,39.65249633789063,7772,47,22,69.20662689208984,70.62360382080078,21.87005043029785,24.66530418395996,61.85023498535156,70.94300079345703,39.36117935180664,39.65249633789063,30.45013999938965,30.80580711364746,9.530046463012695,15.47189712524414,1637.062471278367,1492.5002425488974,1
14,5.948186874389648,2.293748140335083,5.350619792938232,11.615145683288574,2.440911293029785,3.996481895446777,1.398182988166809,6.170203685760497,77.72545623779297,110.42998504638672,48.4647331237793,73.639404296875,78,1718,27,66.85269165039061,120.40486907958984,25.11103057861328,48.15478515625,73.43106842041016,120.4499740600586,48.4647331237793,73.639404296875,33.71331024169922,52.6025505065918,14.606727600097654,19.69264030456543,1490.0874048730414,1618.6257754929566,1
15,6.763573169708253,4.1117024421691895,9.473552703857422,7.436411380767822,3.823777198791504,2.5984516143798837,0.34960055351257324,1.5244182348251345,69.55226898193361,67.56515502929689,45.04638290405274,45.9005126953125,1266,5961,19,73.26788330078125,74.31997680664062,33.94369125366211,28.70442008972168,83.37005615234375,72.66014862060547,45.04638290405274,45.9005126953125,36.14249801635742,33.905506134033196,13.283870697021484,10.050213813781738,1533.4955011772872,1568.581893817461,1
16,7.686826229095459,1.5424200296401978,7.921716213226317,6.195484638214111,5.244317531585693,3.602161407470703,0.7439918518066406,2.0597410202026367,59.01867294311523,66.03917694091797,40.35082626342773,40.37489700317383,2904,712,16,62.11555099487305,71.6042709350586,30.48822021484375,28.205360412597656,73.84684753417969,69.45116424560547,40.35082626342773,40.37489700317383,33.356491088867195,29.35306739807129,10.002140045166016,11.892733573913574,1495.5411639715524,1748.185713605452,1
17,9.363194465637207,14.513598442077635,3.949006319046022,4.0556015968322745,3.17202377319336,2.413529396057129,1.2877484560012815,4.196207046508788,64.63365936279297,83.19751739501953,36.6971321105957,55.10926818847656,728,714,18,60.1891975402832,73.36028289794922,21.85552215576172,25.005014419555664,68.57964324951172,79.33023071289062,36.6971321105957,55.10926818847656,29.933990478515625,41.83575439453125,16.790132522583008,12.48946475982666,1534.082746130643,1646.3528519354372,1
18,5.985066890716553,2.710918426513672,11.174156188964844,5.0816307067871085,4.613081455230713,2.1111712455749507,1.19886577129364,4.044509410858153,76.356201171875,74.96521759033203,55.77164840698242,43.86090087890625,3492,5136,17,89.4232177734375,68.65433502197266,39.40066146850586,23.94162940979004,93.12081146240234,70.32095336914061,55.77164840698242,43.86090087890625,40.9617805480957,31.3715877532959,12.758374214172365,15.00774097442627,1501.0042763143638,1623.9940343884464,1
19,5.7259178161621085,3.4997997283935547,6.553366184234619,8.017668724060059,4.068199634552002,2.3885629177093506,4.240771293640137,1.6355844736099243,61.94412231445313,73.18061065673828,34.126922607421875,45.74855041503906,961,650,32,68.03974151611328,70.88671112060547,30.28912925720215,25.87947082519531,73.74088287353516,72.55162811279297,34.126922607421875,45.74855041503906,27.883737564086914,34.178916931152344,15.568016052246096,12.493243217468262,1569.1801963221703,1658.9545726129825,1
20,14.931191444396973,5.0209784507751465,7.6569366455078125,7.798982620239258,4.778547286987305,3.26743221282959,2.598353624343872,8.046889305114746,71.775146484375,108.16582489013672,47.27702331542969,56.12762451171875,552,4010,16,71.39966583251953,91.89246368408205,33.07699203491211,32.03442001342773,84.39888763427734,98.13568115234376,47.27702331542969,56.12762451171875,38.33000183105469,39.996490478515625,12.991893768310547,26.104766845703125,1640.598574305663,1725.695547675874,1
21,6.740562915802003,5.367391586303711,5.617247104644775,6.227541446685791,3.4046056270599365,2.8764362335205083,0.7368792891502379,2.209179162979126,65.99584197998047,72.03910064697266,43.17908096313477,45.9930534362793,1266,78,19,65.60926055908203,65.45117950439453,29.17021751403809,25.193458557128906,74.7717514038086,68.62178039550781,43.17908096313477,45.9930534362793,32.964599609375,30.701738357543945,12.636932373046875,12.726577758789062,1582.0481769611256,1605.159492349292,1
22,10.101035118103027,9.10578155517578,4.006945610046387,7.306831359863281,3.0904407501220703,4.9812893867492685,1.5214977264404297,1.1787052154541016,66.55794525146484,63.74162673950195,38.55523300170898,40.5208740234375,728,2904,32,63.42528915405274,60.6931037902832,23.093095779418945,28.04386711120605,70.4906005859375,72.62506866455078,38.55523300170898,40.5208740234375,31.97604942321777,33.510791778564446,15.421460151672365,11.070411682128906,1707.0662190295777,1687.4723465113116,1
23,3.252671480178833,3.327966451644897,10.760966300964355,10.274910926818848,4.237273693084717,4.28187894821167,2.98611831665039,0.5227630734443665,62.21296310424805,70.04819488525389,35.446533203125,51.33639144897461,961,3492,28,74.92277526855469,78.17572021484375,33.73773956298828,34.667285919189446,77.29985809326172,83.83446502685547,35.446533203125,51.33639144897461,28.992624282836914,36.00908660888672,14.569493293762207,13.158099174499512,1595.2031950278636,1687.7454119735653,1
