ACES,ACESRival,BP,BPOF,BPOFRival,BPRival,DF,DFrival,FS,FSOF,FSOFRival,FSRival,ID_P,RPW,RPWOF,RPWOFRival,RPWRival,TPW,TPWRival,W1S,W1SOF,W1SOFRival,W1SRival,WIS,WISRival,NAME_P
1.6957776546478271,3.3887686729431152,3.3876700401306152,4.237797737121582,11.006451606750488,5.079249382019043,7.619669914245605,4.2342472076416025,45.73055648803711,72.83341217041016,72.83322143554688,40.65290832519531,918,31.33465003967285,72.83322143554688,72.83341217041016,36.40959167480469,67.75847625732422,77.90816497802734,26.257831573486328,45.73055648803711,40.65290832519531,27.94833374023437,10.165990829467773,13.550237655639648,Teimuraz Gabashvili
6.0043134689331055,5.004767894744873,1.0018237829208374,4.004929065704347,7.005799770355225,3.002175092697144,2.0020475387573238,3.001689910888672,37.03450393676758,75.06124877929688,71.06138610839844,41.037086486816406,791,23.021982192993164,71.06138610839844,75.06124877929688,28.0227165222168,70.06050109863281,76.06212615966797,26.02521896362305,37.03450393676758,41.037086486816406,28.02608299255371,21.013307571411133,20.01332664489746,Andreas Seppi
5.869723320007324,11.73941135406494,1.468587040901184,2.203693628311157,0.7370434403419495,0.7350465059280396,4.403576850891113,2.2027370929718018,34.50259780883789,62.39453887939453,64.59372711181639,37.43441009521485,961,18.353967666625977,64.59372711181639,62.39453887939453,18.35472679138184,62.39376831054688,64.59446716308594,30.093547821044922,34.50259780883789,37.43441009521485,33.026878356933594,13.946253776550293,13.212875366210938,Guillermo Garcia-Lopez
10.006280899047852,12.005773544311525,2.0021119117736816,2.004173755645752,5.005201816558838,4.002467632293701,2.0030012130737305,2.002277612686157,69.04576110839844,108.0717315673828,101.07096862792969,69.04621887207031,672,31.02492332458496,101.07096862792969,108.0717315673828,45.02740097045898,94.0692367553711,115.0734405517578,47.032142639160156,69.04576110839844,69.04621887207031,55.03386688232422,16.012170791625973,15.012171745300293,Fernando Verdasco
7.341660976409912,5.873302459716798,1.467992067337036,8.804996490478516,5.871559143066406,4.402455806732178,9.5376558303833,6.602849006652832,40.37050247192383,71.19725036621094,68.26332092285156,44.77312850952149,468,21.286954879760746,68.26332092285156,71.19725036621094,33.02423858642578,59.4599723815918,80.00059509277344,30.09499168395996,40.37050247192383,44.77312850952149,34.49670791625977,8.07801342010498,12.479654312133787,Feliciano Lopez
3.479254961013794,3.4771571159362797,1.1598942279815674,6.95293664932251,5.794604778289795,3.4758880138397217,1.1592172384262085,3.4766216278076167,47.514869689941406,66.06224060058594,79.95943450927734,42.881263732910156,1266,27.81352615356445,79.95943450927734,66.06224060058594,28.97075843811035,64.90501403808594,81.11666870117188,27.817745208740234,47.514869689941406,42.881263732910156,31.29068946838379,9.273737907409668,20.855213165283203,Sergiy Stakhovsky
9.43327522277832,7.33933162689209,3.1455414295196533,5.244267463684082,1.0516856908798218,1.0491745471954346,1.0493924617767334,4.193711757659912,40.89714050292969,56.63794708251953,57.68931198120117,35.66233444213867,4010,20.979299545288086,57.68931198120117,56.63794708251953,14.688761711120605,62.9284782409668,51.39877319335938,36.69707107543945,40.89714050292969,35.66233444213867,27.268451690673828,5.25211238861084,9.441563606262207,Gilles Simon
10.00373363494873,12.007489204406738,6.002728462219237,14.00757884979248,8.004963874816895,4.0021705627441415,10.003135681152344,4.002079963684082,84.0418472290039,140.0682373046875,150.0734405517578,78.04328918457031,75,58.028404235839844,150.0734405517578,140.0682373046875,44.02351760864258,154.0731201171875,136.06851196289062,62.0301628112793,84.0418472290039,78.04328918457031,50.03005599975586,34.01454544067383,42.014949798583984,Mikhail Youzhny
6.832467079162598,0.7634751796722412,1.519477605819702,6.833975315093994,6.832172393798827,3.0362019538879395,3.7954490184783936,0.0030194991268217572,41.75981903076172,69.09532165527344,67.58380889892578,51.62782669067383,875,22.78378486633301,67.58380889892578,69.09532165527344,29.60747146606445,62.271644592285156,74.4074935913086,28.85457992553711,41.75981903076172,51.62782669067383,34.166954040527344,10.633273124694824,10.633070945739746,Mischa Zverev
4.6344404220581055,9.266036033630373,0.0033780590165406466,3.479896068572998,5.794001579284668,2.3178942203521733,3.4765987396240234,1.1604160070419312,40.56451416015625,59.1138687133789,70.69157409667969,47.510231018066406,4067,19.709646224975586,70.69157409667969,59.1138687133789,20.86529922485352,57.958213806152344,71.84721374511719,31.28973388671875,40.56451416015625,47.510231018066406,39.39213943481445,6.95883321762085,11.589776992797852,Fabio Fognini
5.314566135406494,3.799725770950317,1.5191972255706787,3.7981750965118413,8.349723815917969,4.5534095764160165,2.2777485847473145,3.795848846435547,42.52094268798828,66.06294250488281,66.82448577880861,38.7324447631836,678,21.26457023620605,66.82448577880861,66.06294250488281,28.849140167236328,58.47836303710938,74.4090576171875,27.33746719360352,42.52094268798828,38.7324447631836,30.37544250488281,9.87633228302002,15.184480667114258,Philipp Kohlschreiber
6.147407531738281,11.262041091918945,2.0484321117401123,4.098949909210205,5.634459495544434,3.583326816558838,7.6776299476623535,7.675435066223144,33.80794906616211,62.48736572265625,75.275146484375,38.41209411621094,650,26.628454208374023,75.275146484375,62.48736572265625,25.09586334228516,64.01995849609375,73.7425537109375,25.61019325256348,33.80794906616211,38.41209411621094,31.749530792236328,11.781316757202148,16.89715576171875,Julien Benneteau
