Unnamed: 0,ID_player,hard,clay,carpet,grass
3,706,1484.0,1500.0,1500,1500.0
181,471,1468.0,1500.0,1500,1500.0
419,25,1484.0,1500.0,1500,1500.0
535,465,1484.0,1500.0,1500,1500.0
639,238,1484.0,1500.0,1500,1484.0
695,157,1468.0,1484.0,1500,1484.0
749,698,1467.263693206478,1500.0,1500,1500.0
750,358,1484.736306793522,1484.0,1500,1484.0
751,165,1467.263693206478,1500.0,1500,1500.0
761,957,1468.6687643190155,1500.0,1500,1500.0
791,88,1467.9660918698307,1500.0,1500,1500.0
792,4175,1484.736306793522,1500.0,1500,1500.0
821,198,1484.0,1500.0,1500,1500.0
828,708,1485.4387739660467,1500.0,1500,1500.0
1033,32,1467.263693206478,1484.0,1500,1500.0
1099,5,1467.263693206478,1484.0,1500,1500.0
1189,6,1504.0349196699594,1500.0,1500,1484.0
1247,783,1484.736306793522,1484.0,1500,1500.0
1257,62,1484.0,1468.736306793522,1500,1484.0
1269,366,1484.736306793522,1483.263693206478,1500,1500.0
1289,318,1467.263693206478,1484.0,1500,1500.0
1291,472,1484.0,1499.263693206478,1500,1500.0
1297,439,1468.0,1483.263693206478,1500,1500.0
1303,369,1500.0,1484.0,1500,1500.0
1309,707,1484.736306793522,1484.0,1500,1500.0
1327,519,1468.6995807467101,1500.0,1500,1500.0
1377,101,1484.736306793522,1515.263693206478,1500,1500.0
1393,548,1467.263693206478,1500.0,1500,1500.0
1409,429,1467.263693206478,1499.2976013366472,1500,1500.0
1435,1754,1484.0,1516.0,1500,1500.0
1437,785,1467.263693206478,1501.471055359896,1500,1500.0
1584,34,1500.0,1533.2331498063822,1500,1516.0
1707,73,1469.5276530894764,1471.4661975174406,1500,1469.535175259669
1740,627,1484.0,1500.0,1500,1500.736306793522
1777,139,1484.0,1500.0,1500,1513.8601788121714
1835,31,1513.6388045033175,1482.5641271217237,1500,1516.0269230605686
1921,20,1485.7015614144802,1513.1496280884362,1500,1484.0
2137,359,1467.2975328274754,1485.4049280472937,1500,1500.0
2139,1269,1468.6687643190155,1500.0,1500,1500.0
2141,554,1484.0,1500.0,1500,1500.0
2166,681,1484.0,1500.0,1500,1500.0
2243,58,1526.4697750606963,1484.0,1500,1500.0
2251,373,1467.263693206478,1500.0,1500,1500.0
2275,881,1484.0,1500.0,1500,1500.0
2313,4265,1484.0,1500.0,1500,1500.0
2595,263,1486.3637716339745,1484.0,1500,1500.0
2953,87,1497.645167666856,1485.4695015289756,1500,1515.9660918698307
3029,501,1484.0,1500.0,1500,1500.0
3033,5057,1484.0,1500.0,1500,1500.0
3047,2111,1484.0,1500.0,1500,1500.0
3053,914,1484.0,1500.0,1500,1500.0
3065,1159,1484.0,1500.0,1500,1500.0
3241,1410,1484.0,1500.0,1500,1500.0
3253,601,1484.0,1500.0,1500,1500.0
3267,591,1484.0,1500.0,1500,1500.0
3287,898,1484.0,1500.0,1500,1500.0
3291,17,1484.0,1498.5935756536705,1500,1484.0
3411,1422,1484.0,1500.0,1500,1500.0
3680,883,1484.0,1500.0,1500,1500.0
3703,105,1468.0,1484.0,1500,1500.0
3716,95,1437.3726440707019,1469.0490046427683,1500,1547.5440744987725
3777,7635,1484.0,1500.0,1500,1500.0
3783,1239,1484.0,1500.0,1500,1500.0
3801,1464,1484.0,1500.0,1500,1500.0
3811,150,1484.0,1500.0,1500,1500.0
3831,26,1467.263693206478,1532.4808342310519,1500,1484.0
3857,660,1500.1291582878707,1485.4765008816048,1500,1500.0
4173,29,1558.8190834282998,1532.0,1500,1585.6767117415184
4175,27,1517.0130090105574,1483.9660918698307,1500,1487.399378718026
4176,80,1470.1434388951827,1468.7716911320422,1500,1484.0
4335,1850,1484.0,1500.0,1500,1500.0
4339,450,1467.263693206478,1484.0,1500,1500.0
4345,583,1484.0,1500.0,1500,1500.0
4346,508,1484.736306793522,1500.0,1500,1500.0
4413,11,1454.924167527727,1501.369748865039,1500,1500.0
4439,2128,1484.0,1500.0,1500,1500.0
4448,2861,1484.0,1500.0,1500,1500.0
4450,880,1484.736306793522,1516.0,1500,1500.0
4451,1030,1484.0,1500.0,1500,1500.0
4455,7077,1484.0,1500.0,1500,1500.0
4457,1987,1484.0,1500.0,1500,1500.0
4473,987,1484.0,1500.0,1500,1500.0
4475,6523,1484.0,1500.0,1500,1500.0
